CATEGORIE;SOUS-CATEGORIE;SOUS-CATEGORIE 2;SOUS-CATEGORIE 3;DESIGNATION;DESCRIPTION;HAUTEUR;LARGEUR;PRIX_UNITAIRE_HT;ARTICLE;FOURNISSEUR;CHANTIER;FICHE_TECHNIQUE;FICHIER_PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Porte Battante EI30/EI60;;PORTE ESSENTIAL BATTANTE EI60 FIL DE CLOISON - Chassis aluminium brut - Porte coupe feu 1H EI60;finition prépeint. charnières invisibles. serrure de sécurité E70 Fr22. CYLINDRE (sans le cylindre). modèle a pousser ou à tirer. { a préciser }).;2100;800;1789.17;1704339;Dispano;AUGUSTA PARIS;Fiches_techniques\Portes et chassis\EI60\blocofeu_f61s-t01-grande-largeur_fp.pdf.pdf;Devis_fournisseur\Dispano\M3248000120388.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Porte Battante EI30/EI60;;PORTE ESSENTIAL BATTANTE EI60 FIL DE CLOISON - Chassis aluminium brut - Porte coupe feu 1H EI60;finition prépeint. charnières invisibles. serrure de sécurité E70 F22. CYLINDRE (sans le cylindre). modèle a pousser ou à tirer.;2100;700;1789.17;1704339;Dispano;AUGUSTA PARIS;Fiches_techniques\Portes et chassis\EI60\blocofeu_f61s-t01-grande-largeur_fp.pdf.pdf;Devis_fournisseur\Dispano\M3248000120388.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Porte Battante EI30/EI60;;PORTE ESSENTIAL BATTANTE 50 A FIL DE CLOISON - Chassis aluminium brut - finition prepeint;Porte âme creuse ép.50mm. charnières invisibles. serrure magnétique PDDT ou cylindre. modèle a pousser ou a tirer. { a préciser ).;2100;600;702.49;1704339;Dispano;AUGUSTA PARIS;Fiches_techniques\Portes et chassis\EI30\blocofeu_f31s-t02_fp.pdf;Devis_fournisseur\Dispano\M3248000120388.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Porte Battante EI30/EI60;;PORTE ESSENTIAL BATTANTE 50 A FIL DE CLOISON - Chassis aluminium brut - finition prepeint;Porte âme creuse ép.50mm. charnières invisibles. serrure magnétique PDDT ou cylindre. modèle a pousser ou a tirer.;2100;800;702.49;1704339;Dispano;AUGUSTA PARIS;Fiches_techniques\Portes et chassis\EI30\blocofeu_f31s-t02_fp.pdf;Devis_fournisseur\Dispano\M3248000120388.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Bloc Porte EI30;;BLOC PORTE EI30 - Huisserie resineux massif a peindre 98X58 - porte cadre bois dur 4 ples de 130;98X58 avec joint iso. serrure de sûreté 1 point axe a 50. Stratifié 2 faces gamme sélection.;2040;930;297.04;1701603;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\EI30\blocofeu_f31s-t02_fp.pdf;Devis_fournisseur\Dispano\M3248000133334.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Bloc Porte EI30;;BLOC PORTE EI30 - Huisserie bois dur a peindre 68X58 - porte cadre bois dur 4 ples de 130;avec joint iso. serrure de sûreté 1 point axe a 50. sans cylindre. 2 faces fibre prépeint.;2240;930;193.54;1701603;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\EI30\blocofeu_f31s-t02_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Bloc Porte EI30;;BLOC PORTE EI30 - Huisserie bois dur a peindre 68X58 - porte cadre bois dur 4 ples de 130;avec joint iso. serrure de sûreté 1 point axe a 50. sans cylindre. 2 faces fibre prépeint.;2240;930;193.54;1701603;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\EI30\blocofeu_f31s-t02_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Bloc Porte EI30;;BLOC PORTE EI30 - Huisserie bois dur a peindre 68X58 - porte cadre bois dur 4 ples de 130;avec joint iso. serrure de sûreté 1 point axe a 50. sans cylindre. 2 faces fibre prépeint.;2240;930;193.54;1701603;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\EI30\blocofeu_f31s-t02_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Bloc Porte Double Action EI30;;BLOC PORTE DAS DOUBLE ACTION EI30 - Huisserie bois dur a peindre 118X58 - 2 VTX joint anti pince doigts;BLOC PORTE ACOUSTIQUE RA=29DB EI30. avec joint iso. porte cadre bois dur 4 paumelles de 130. serrure de sûreté 1 point axe a 50. sans cylindre. 2 faces fibre prépeint. joint balai. 37-671 1677-21. +boitier de connexion et réarmement.;2240;1760;1652.62;1701603;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\DAS\blocdas_d32wpt01_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Bloc Porte Double Action EI30;;BLOC PORTE DOUBLE ACTION EI30 - Huisserie bois dur a peindre 118X58 - Pivot linteau GRL100 - Stratifie CHENE QUEBEC;Stratifié 2 faces CHENE QUEBEC. C105 EXM. AVEC 1 OCULUS ROND D.40Omm. vitrage pyrobel 16 EI30 parclose. bois sur vantail de 930. 2 VTX :joint anti pince doigts. K20.00%$ 24207.68 4841.54 TVA 4841.54 E.;2040;1460;1729.12;1701603;Dispano;PARIS 8;Fiches_techniques\Portes et chassis\EI30\blocofeu_f32s-t01_fp.pdf.pdf;Devis_fournisseur\Dispano\M3248000131972.PDF
