CATEGORIE;SOUS-CATEGORIE;SOUS-CATEGORIE 2;ARTICLE;DESIGNATION;HAUTEUR;LARGEUR;PRIX_UNITAIRE_HT;DEVIS;FOURNISSEUR;CHANTIER;FICHE_TECHNIQUE;FICHIER_PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Porte Battante EI30/EI60;1704339;PORTE ESSENTIAL BATTANTE EI60 FIL DE CLOISON - Chassis aluminium brut - Porte coupe feu 1H EI60;2100;800;1789.17;D197902;Dispano;AUGUSTA PARIS;Fiches_techniques\Portes et chassis\EI60\blocofeu_f61s-t01-grande-largeur_fp.pdf.pdf;Devis_fournisseur\Dispano\M3248000120388.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Porte Battante EI30/EI60;1704339;PORTE ESSENTIAL BATTANTE EI60 FIL DE CLOISON - Chassis aluminium brut - Porte coupe feu 1H EI60;2100;700;1789.17;D197902;Dispano;AUGUSTA PARIS;Fiches_techniques\Portes et chassis\EI60\blocofeu_f61s-t01-grande-largeur_fp.pdf.pdf;Devis_fournisseur\Dispano\M3248000120388.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Porte Battante EI30/EI60;1704339;PORTE ESSENTIAL BATTANTE 50 A FIL DE CLOISON - Chassis aluminium brut - finition prepeint;2100;600;702.49;D197902;Dispano;AUGUSTA PARIS;Fiches_techniques\Portes et chassis\EI30\blocofeu_f31s-t02_fp.pdf;Devis_fournisseur\Dispano\M3248000120388.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Porte Battante EI30/EI60;1704339;PORTE ESSENTIAL BATTANTE 50 A FIL DE CLOISON - Chassis aluminium brut - finition prepeint;2100;800;702.49;D197902;Dispano;AUGUSTA PARIS;Fiches_techniques\Portes et chassis\EI30\blocofeu_f31s-t02_fp.pdf;Devis_fournisseur\Dispano\M3248000120388.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Bloc Porte EI30;1701603;BLOC PORTE EI30 - Huisserie resineux massif a peindre 98X58 - porte cadre bois dur 4 ples de 130;2040;930;297.04;D202017;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\EI30\blocofeu_f31s-t02_fp.pdf;Devis_fournisseur\Dispano\M3248000133334.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Bloc Porte EI30;1701603;BLOC PORTE EI30 - Huisserie bois dur a peindre 68X58 - porte cadre bois dur 4 ples de 130;2240;930;193.54;D200708;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\EI30\blocofeu_f31s-t02_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Bloc Porte EI30;1701603;BLOC PORTE EI30 - Huisserie bois dur a peindre 68X58 - porte cadre bois dur 4 ples de 130;2240;930;193.54;D200708;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\EI30\blocofeu_f31s-t02_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Bloc Porte EI30;1701603;BLOC PORTE EI30 - Huisserie bois dur a peindre 68X58 - porte cadre bois dur 4 ples de 130;2240;930;193.54;D200708;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\EI30\blocofeu_f31s-t02_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Bloc Porte Double Action EI30;1701603;BLOC PORTE DAS DOUBLE ACTION EI30 - Huisserie bois dur a peindre 118X58 - 2 VTX joint anti pince doigts;2240;1760;1652.62;D200708;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\DAS\blocdas_d32wpt01_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Bloc Porte Double Action EI30;1701603;BLOC PORTE DOUBLE ACTION EI30 - Huisserie bois dur a peindre 118X58 - Pivot linteau GRL100 - Stratifie CHENE QUEBEC;2040;1460;1729.12;D201667;Dispano;PARIS 8;Fiches_techniques\Portes et chassis\EI30\blocofeu_f32s-t01_fp.pdf.pdf;Devis_fournisseur\Dispano\M3248000131972.PDF
